"","","comment"
"1.0","1.0","，面料柔软舒适，里面加了软软的毛绒，弹力也很大，几件质量都不错，值得入手。尺码也很标准，上身穿着很帅气，百搭 。质量非常好，与卖家描述的完全一致，非常满意,真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物质量很好，希望更多的朋友信赖．店主态度特好，我会再次光顾的．可不可以再便宜点．我带朋友来你家买。不好意思评价晚了，非常好的店家，东西很欢！买来这个是送人的他很喜欢卖家的贴心让我感到很温暖。很热情的卖家，下次还来希望下次还有机会合作祝你生意兴隆质量非常好真出乎我的意料包装非常仔细非常感谢"
"1.0","1.0","面料舒适度：卫衣穿起来舒服极了，没有色差，比较喜欢的一个款式，既简约又时尚，买的太划算了，面料柔软舒适，里面加了软软的毛绒，弹力也很大，几件质量都不错，值得入手。尺码也很标准，上身穿着很帅气，百搭 。！喜欢！快点冷起来吧！ 宝贝非常漂亮 和描述的一样 做工精致 款式漂亮 卖家服务非常好 耐心细致 包装非常讲究 不愧是品牌呀。此用户没有填写评论!衣服已收到，和描述的一样，颜色和款式都好看，穿着挺合身的，摸上去也很柔软也暖和，满意。几十块钱买个垃圾，刚穿就爆线了，面料塑料质感强烈，老铁们看着办卫衣收到了，穿了一段时间来评价的，面料不错，不粘毛，尺码标准，洗了也不掉色，价格实惠买值了。"
"","","不掉色 不起球。质量真是真心不错，弹性也很好，穿着很舒服，价格超级实惠，比商场便宜多了，物有所值，而且也基本不缩水，洗过后不变形。穿起来挺舒服的，朋友都说好看，效果非常好，很舒服很好穿!很舒服，蛮舒服的，外面配个帽子穿很好看～穿着合适。感觉物超所值上身效果很好！布料穿上很舒服！！以后就他家了"
"1.0","","宝贝已经收到了，真的是物有所值非常的满意。卖家的服务态度很好发货速度也很快，包裹的严严实实没有任何破损。快递小哥送货速度快，总体来说是一次愉快的购物呀，下次有需要还会再来买买买！与卖家描述的完全一致，非常满意,真的很喜欢，完全超出期望值，发货速度非常快今天收到快递，首先我第一次体验到神速的快递，昨天晚上买的，今天早上到了，其次看见我的商品，我觉得物美价廉非常的nice，天猫超市永远是正品，值得信赖，所以我的配图是爱心，因为我觉得很好很棒，很值得去再回购"
"1.0","","小主们！非常实用的价格。添加卫V星X；工众号，用心省，买的，很便宜，相当划算。质量棒棒哒价格很实惠，布料很舒服，，就算现在这个季节穿也不会觉得很闷。手感很好，穿着很合身，上身效果好，挺厚实。无色差，做エ厚实仔细，做工扎实，收到试了蛮好，过水不褪色，包装很齐，这款的做エ很不错"
"1.0","","，面料柔软舒适，里面加了软软的毛绒，弹力也很大，几件质量都不错，值得入手。尺码也很标准，上身穿着很帅气，百搭 。质量非常好，与卖家描述的完全一致，非常满意,真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物质量很好，希望更多的朋友信赖．店主态度特好，我会再次光顾的．可不可以再便宜点．我带朋友来你家买。不好意思评价晚了，非常好的店家，东西很欢！买来这个是送人的他很喜欢卖家的贴心让我感到很温暖。很热情的卖家，下次还来希望下次还有机会合作祝你生意兴隆质量非常好真出乎我的意料包装非常仔细非常感谢感谢"
"1.0","","第二次回购了，原先第一买了穿后感觉时尚舒适。 体验很不错，这次买来的也挺不错，只是款式换成黑色，也挺好看的。终于收到我需要的宝贝了，东西很好，价美物廉，谢谢掌柜的！说实在，这是我淘宝购物来让我最满意的一次购物。无论是掌柜的态度还是对物品，我都非常满意的。掌柜态度很专业热情，有问必答，回复也很快，我问了不少问题，他都能及时回复，都会认真回答我，这点我向掌柜表示由衷的敬意，这样的好掌柜可不多。再说宝贝，正是我需要的，收到的时候包装完整，打开后让我惊喜的是，宝贝比我想象中的还要好！不得不得竖起大拇指。下次需要的时候我还会再来的，到时候麻烦掌柜给个优惠哦此用户没有填写评论!面料舒适度：衣服收到了哦，非常实惠的，"
"","","前面买了一件上身  刚刚好   老公很喜欢     第二次回购一口气买四件    质量好   手感好"
"","","第二次回购了，原先第一买了穿后感觉时尚舒适。 体验很不错，这次买来的也挺不错，只是款式换成黑色，也挺好看的。"
"","","东西收到好几天了，现在才来评价，衣服上身效果非常好，尺码也合适，我167，体重124，买的加大码，刚好，满分"
"1.0","1.0","质量非常好，与卖家描述的完全一致，非常满意,真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物质量很好，希望更多的朋友信赖．店主态度特好，我会再次光顾的．可不可以再便宜点．我带朋友来你家买。不好意思评价晚了，非常好的店家，东西很欢！买来这个是送人的他很喜欢卖家的贴心让我感到很温暖。很热情的卖家，下次还来希望下次还有机会合作祝你生意兴隆质量非常好真出乎我的意料包装非常仔细非常感谢"
"","","布料摸着很舒服，特别暖和，感觉天气再冷冷冬天穿内衬都没问题，泡在水里没有褪色，而且服务态度很好东西不错，客服服务热情蛮好用的，不光是包装还是质量都挺好的，如果质量不好我是不会给好评的.下次还会来购买颜色和图案特别逼真鲜艳，特别好看，而且穿上去很舒服，纯棉的，一点皱纹也没有，面料柔软舒适推荐微胖的人买，既好看又可以稍微显瘦，喜欢到飞起走过路过的不要错过呀。"
"1.0","1.0","此用户没有填写评论!"
"1.0","","搜 ~ [薇]  *[信]* [公]* [众]*[号] * [可九九]，令页了卷再去买、好划算，  便宜了狠多 排名在最上面那个，抢倦买的！收到货了，包装很好，看起来很高档，东西质量很不错，产品描述和实物一致，很满意，性价比很高！质量也很好，非常的划算！卖家的服务态度很好，下次还要来买！会推荐给朋友过来买！5分好评！l  A26"
"","","袖子成这样了还给我发来，也是醉了，叫我怎么穿"
"","","最近快递有点多，打开一看觉得挺惊喜的，个人非常的满意了，因为我是典型的选择困难户，买之前对比了同网很多家，看了好久以后才决定买的这家，果然没让我失望，满意哈哈，有需要的话还会再来，可以放心入手的一个产品！值得入手。这次算是挖到宝了，衣服面料很柔软，很舒服。上身效果很修身，最近天降温了，穿上刚刚好，针脚细密整齐，里面的那个绒是真的很舒服很保暖，穿上身很舒服，效果不错。质量很好，颜色很正，不起球，穿起来很暖和。"
"","","衣服尺寸合适，质量不错，客服服务很好，物流也很快，好评！衣服很满意，做工挺细致的，穿着也很舒服，面料摸起来也非常舒服，很不错的一次购物。面料柔软舒适、尺码标准、实物和图片一样漂亮、没有色差、物美价廉、性价比超高！挺划算的，还有品牌优势，不错啊！过水不褪色，穿起来瘦身，挺合身的，显身材哦，总体来说，还是可以的哦！ 卖家服务态度很热情，快递也算给力，总体服务不错，很满意哦！衣服质量很好，物美价廉"
"1.0","","终于收到我需要的宝贝了，东西很好，价美物廉，谢谢掌柜的！说实在，这是我淘宝购物来让我最满意的一次购物。无论是掌柜的态度还是对物品，我都非常满意的。掌柜态度很专业热情，有问必答，回复也很快，我问了不少问题，他都能及时回复，都会认真回答我，这点我向掌柜表示由衷的敬意，这样的好掌柜可不多。再说宝贝，正是我需要的，收到的时候包装完整，打开后让我惊喜的是，宝贝比我想象中的还要好！不得不得竖起大拇指。下次需要的时候我还会再来的，到时候麻烦掌柜给个优惠哦"
"","","拿到衣服很满意，刚好合身，没有让我失望，这个价钱买到这样的衣服已经很划算了衣服很好，很漂亮，质量也好，穿起来很舒服谢谢，这么实惠的衣服好穿又暖和，面料柔软 大小合适 穿着非常舒服衣服很好看，穿了很合适哦衣服质量不错，穿着也好看，价格便宜，卖家人很好发货很快，质量很好，摸起来质感很舒服，款式也不错。总之物美价廉，棒棒哒，今天收到感觉不错，材质摸起来舒服而且价格实惠"
"","","衣服里面有一层薄薄的绒绒，穿在身上超级舒服 好开心，同学看了也说好哈哈哈。很实惠。服好。到货快，五分好评。挺好看的，也比较百搭，搭配真的很减龄，很喜欢，洗了一次，不会起球，也没有掉颜色，里面也可以套保暖衣穿，秋冬会更保暖质量出乎意料的好买的灰色也仔裤运动鞋，春秋款的是纯棉的。加绒外套，绒密实，不掉毛，柔软，质量不错，发货也快，非常满意！"
"","","春秋款的是纯棉的。加绒外套，绒密实，不掉毛，柔软，质量不错，发货也快，非常满意！"
"1.0","1.0","此用户没有填写评论!"
"1.0","","嗖嗖嗖！！！搜这个 薇=ィ 訁公▁众▁号【返大力】买的，真的很划算! ! !!前面那个才是衣服挺好的不错??东西挺好的！就是衣服上有一块胶！穿着也挺舒服大小合身！衣服收到了，挺快的。尺码标准穿上大小正合适。满意的一次购物！衣服尺码正好，穿起来好看，没有弹性的，不用担心变大，就是衣服上都没有吊牌，不知道是不是别人退货的衣服挺不错的，面料挺好的，做工精细，款式新颖。弟弟特别喜欢，打算在买一件"
"","","取来就穿上了，挺舒服，物流也很快，价格公道童叟无欺"
"1.0","1.0","此用户没有填写评论!"
"1.0","","童鞋们！公 总~号搜：【趣趣省】领~券~购买的 ，太划算了，我居然只用 了半!价! 才39 。排在最上面的那个才是哦！很棒五星好评！物流快，服务好！非常满意的一次购物，穿上很合身很好看，里面是棉的，很适合冬天穿！很暖！建议大家买这款而且没什么线头，细节问题都做得很仔细，不是很薄但很适合春秋季节，对我来说很是满意。"
"","","不知道卖家是不是看不见，两只袖子的颜色一样吗？第一次网购不值钱无所谓也懒得多啰嗦。"
"","","衣服收到迫不及待打开包装，拿出来一看做工还不错，布料也可以，款式也不错，就是没我想象的那么厚，老公也说不错，穿着正合适，如果需要，下次还会光顾这家门店，谢谢老板，谢谢物流快递人员，你们辛苦了！愉快的购物！"
"","","衣服真的很不错，是我喜欢的类型，也是我喜欢的面料，穿着特比较舒服，拼接的花花袖子，很洋气的样子，配马甲穿还很帅的，我下次还会购买的哈哈，最主要的是优惠划算，"
"1.0","1.0","此用户没有填写评论!"
"","","收到衣服了，卫衣挺厚的，我以为会是那种很薄的，没什么质感的，没想到那么厚实，冬天里面啥都不用穿也不会冷了，还好买了大一些的，这样子下面还可以搭配裤子穿，真的是物超所值，真的是很喜欢，面料很好，下次想买粉色那个试试，应该也很好看卫衣质量很好，质地柔软，里面是加绒的，穿上很暖和，还舒服，天冷了，卫衣配牛仔裤最搭了颜色也很赞，很喜欢这家店的衣服，物美，价廉，现在天气穿这个刚刚好，很百搭朋友都问我在哪里买的，特别酷的一件卫衣，今年超级流行这个款式，"
"1.0","1.0","此用户没有填写评论!"
"1.0","","亲们！！公 总~号搜： 米八八，再去买，便宜了 狠多，价格很理想！！！宝贝质量很不错，喜欢，产品描述和实物一致。真是物美价廉，发货速度非常快，物流也很快，第二天就到了，包装很漂亮，客服服务态度很好，详细的解答了我的问题，这是最满意的一次购物，卖家很好，下次还要来买！会推荐给朋友过来买！11.28rr"
"1.0","1.0","此用户没有填写评论!"
