"模板","水评","comment"
"","","一次买了2件，质量还可以，今天到的货，喜欢，好评"
"","","衣服还好，就是胸前的小鹿提花不太好，买来穿着玩的，老公出差了，没有试合不合适，看着差不多，好评"
"","1.0","好看！和图片上的一样，真好，喜欢！！！"
"","","穿着很舒服，里面加绒很柔软舒适，下次还会在来"
"","","效果不好，衣服是拼接的不是一体的，穿上超不舒服，还有详情里面号码偏小，买了结果不能穿"
"","","买了好几件，黑色的质量会好点，不太会起球，其他的洗一次就起球了"
"","","衣服挺厚的，南方穿刚刚好，就是棱角有点不齐！"
"","1.0","宝贝的面料值这个钱哦"
"","","第二次购买了，上次买了觉得很合身而且也挺舒服的就又买了。非常不错的价格能买到真是太实惠了。"
"","","线头是真的多"
"","","线头还真的不是一般的多，差评"
"","","已经是第二次买了，穿在身上特别的暖和，面料也比较好。好的东西值得拥有。"
"","","这件不如上件质量好，身上的条纹已屋屋裂开了，衣服柔软度也不如上件好多，"
"","","面料很不好，穿身上也不舒服，收到的衣服上面都发霉了，洗了下水好脏！"
"","1.0","上身效果非常好、花纹也非常精致：要买的赶紧下单啦，"
"","1.0","很好看，不错"
"","","穿着很合身很喜欢😊"
"1.0","1.0","很有耐心的卖家，以后有需要还会回购的。说它不好的我都想去拼命！质量非常好，与卖家描述的完全一致，非常满意,真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物宝贝收到了，非常满意，以后再来。终于找到家好店，服务好，质量不错，下次有机会再来买。到货很迅速，质量很好，好店铺，推荐了~"
"","","衣服还可以质量很好，谢谢发货速度很快"
"","","有股很大的味道。用洗衣液洗完还有味道。然后还有线头。总体觉得反正就那样。也就能穿一个月左右。价格在哪摆着。"
"","","绝对的好评，衣服不错，与描述相符，而且也挺实惠的，刚刚试穿了一下，穿上挺暖和的，建议大家买，虽然只有一点点弹性，但是我觉得挺好的，要不然弹性太大了，一洗的话就变大了。"
"1.0","1.0","此用户没有填写评论!"
"","","衣服不错，这么冷的天穿上很暖和，值得拥有，五星好评"
"1.0","","薄款的适合春秋穿  面料舒适。其他平台的比这便宜一半我为什么选择这家店铺呢？   我始终是相信一分钱一分货的。这个价位买到这个质量的衣服我觉得值了。"
"","1.0","此用户没有填写评论!"
"","","第二次购买了 质量不错"
"","1.0","呱呱呱呱呱呱嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎非常好，里面还有加绒。  哈哈哈哈哈嘎嘎嘎嘎"
"","","不错哦，物美价廉，穿起来舒服，不起球"
"","","买回来的颜色跟展示图片的都不一样"
"","","衣服穿上去很舒服，很好。大小刚好合适，太棒了，便宜。"
"","","还不错，就是衣袖不听话，"
"","","宝贝之前就到了，穿起来很舒服，很暖😊"
"","","质量很好，穿起来很暖和，就是拍的时候衣服短了一点，深圳可以穿着过几天冷天，非常不错。"
"","","衣服收到了，穿起来比较舒适，大小正好合身而且衣服价格比较实惠很喜欢"
"","","宝贝收到了，摸上去的手感还可以，刚收到穿上去有点儿紧，但穿了儿次就比较松一点了"
"","","挺好，老公很喜欢，非常不错。"
"1.0","1.0","此用户没有填写评论!"
"","","衣服收到了，这个时候才来评价。总的来说衣服颜色和图片一样，没有色差。加绒的穿着很暖和。"
"","","衣服收到了，非常的不错，穿上也挺合适的，物流也很效率，赞一个。"
"","1.0","很好，跟图片相符，物美价廉，点赞。下次继续回购"
"","","买的是加绒的 绒呢  我怎么没看到"
"1.0","1.0","此用户没有填写评论!"
"1.0","","买的，很便宜，相当划算。质量棒棒哒价格很实惠，布料很舒服，，就算现在这个季节穿也不会觉得很闷。手感很好，穿着很合身，上身效果好，挺厚实。无色差，做エ厚实仔细，做工扎实，收到试了蛮好，过水不褪色，包装很齐，这款的做エ很不错衣服是真的好看.纯色的非常百搭。不显胖显瘦。物美价廉。让我非常满意的一次购物。宝贝正是我想要的款式。宝贝包装完整。非常快的送到我手里。颜色显得人干净。搭外套穿很暖和。质量好还不贵。小伙伴们都喜欢。还吵我要了链接。同款。没有色差。下水也不变形。推荐"
"","","质量真差    骗人"
"","","这衣服面料跟装化肥的袋子一样粗糙，里面加的绒也算得上是工业填充化纤，味大得几米远都能闻到，决对的差，不骗大家良心评价，我是不敢穿，穿的身上掉一身白毛痒得人死。"
"","","衣服质量很好穿起来又暖推荐大家买。而且穿起来好看"
"1.0","1.0","此用户没有填写评论!"
"","","这家店的衣服一点都不规格，袖子短得要命无法穿，虽然钱少但是质量应该保证啊"
"","","袖子短了感觉好小"
"","","衣服不错，摸起来很舒服，挺厚的，很适合冬天穿！"
"1.0",""1.0,"衣服面料特别好！虽然没有买加厚的，但足够暖和，价廉物美，颜色和商家描述的一样，按尺寸购买，大小准确，合适。是一次满意的购物，给满分，好评。喜欢这款的人，不要错过，绝对可以考虑购买，我可不是托哦！我是实话实说。"
"","","衣服不错，穿了一下很合身穿的舒服"
"","","以这个价位来说比较不错了"
"","","衣服都是坏的，还牌子货。"
"","","太薄，实在太薄"
"","","色差太大了吧"
"","","衣服面料非常好，很贴身，很修身，下次还买"
"","","tama的，出了钱买个烂衣服，虽然说二十块钱，但是起码你也完好无损啊！既然烂的，还一直要我好评还知道自己不容易，你他ma我容易吗？穷的二十块钱买个衣服还是烂衣服，那二十块钱我当掉了，我都没说你们什么，你们反而还一天到晚发信息给我，我不说出来都不得，这种没良心的商家，二十块钱不多但是也是你们赚钱的工具，你这样子骗顾客好吗？良心过得去吗"
"","","烂衣服，不良商家"
"","","它只是件长袖T恤而已"
"","","刚收到，物流很快，一下就到了。衣服很不错，确实挺厚的。样子也好看，摸起来很舒适。值得购买。"
"","","质量很好"
"","","卫衣不错，挺厚实的，保暖，就是有开线3厘米左右，其他还好吧"
"1.0","1.0","此用户没有填写评论!"
"","","黑色掉色实在是太严重了，每次洗衣服水都成黑色了"
